month,available_date,gbm_usd_yoy_pct,gbm_fxn_yoy_pct,fx_effect_pp,usd_z,usd_score,fxn_z,fxn_score
2020-03,2020-04-30,5.973926900755918,8.563576081187255,-2.589649180431337,0.3631567856211631,56.05261309368605,1.97878298952613,82.97971649210217
2020-04,2020-05-31,7.767137468437405,10.726263109171455,-2.95912564073405,0.808471488834767,63.47452481391279,3.7368743840356258,112.2812397339271
2020-05,2020-06-30,10.105314611417732,12.211890481465096,-2.1065758700473634,1.3730633535934123,72.88438922655688,4.298208658903058,121.63681098171764
2020-06,2020-07-31,11.62046597986344,12.85786252839588,-1.2373965485324412,1.7038500014684004,78.39750002447335,4.110801123552137,118.51335205920229
2020-07,2020-08-31,13.055883758750529,13.053431886737881,0.0024518720126476268,1.984281742668267,83.07136237780446,3.7411880714000425,112.35313452333405
2020-08,2020-09-30,15.604926777876724,12.899983561236315,2.704943216640409,2.4658112018261837,91.09685336376972,3.309965004986787,105.16608341644645
2020-09,2020-10-31,17.389287809310396,13.394386595086667,3.994901214223729,2.704086646945837,95.06811078243062,3.2734670231649345,104.55778371941558
2020-10,2020-11-30,17.580709614439485,13.273312153931666,4.3073974605078185,2.5909683828415124,93.18280638069189,2.9750721879006212,99.58453646501036
2020-11,2020-12-31,18.69562325791552,13.623984142989373,5.071639114926148,2.662540699637625,94.37567832729376,2.929220987688076,98.82034979480127
2020-12,2021-01-31,19.83788114519461,13.619622268414972,6.21825887677964,2.720767517554484,95.34612529257474,2.747866754328243,95.79777923880405
2021-01,2021-02-28,20.00022459947916,13.65142027058538,6.348804328893781,2.6016789929436093,93.36131654906015,2.610082193083552,93.50136988472588
2021-02,2021-03-31,21.56385032109062,14.27139732613132,7.2924529949593,2.7228704959892807,95.38117493315468,2.708487270380769,95.14145450634615
2021-03,2021-04-30,18.931858016700694,12.818636801969433,6.1132212147312615,2.1686142901614986,86.14357150269166,2.040974298169097,84.01623830281828
2021-04,2021-05-31,17.395173792506295,10.778669792989982,6.616503999516313,1.8470476251662908,80.78412708610485,1.2061334336699387,70.10222389449898
2021-05,2021-06-30,17.287404063393492,9.639469547190902,7.647934516202589,1.778607371916564,79.6434561986094,0.7448773089542089,62.41462181590348
2021-06,2021-07-31,15.332290117239957,9.043870583027056,6.288419534212901,1.4228263192080857,73.71377198680143,0.5029438932456164,58.38239822076027
2021-07,2021-08-31,12.848546729479004,8.71088766116735,4.137659068311654,0.9969670774300308,66.61611795716718,0.3666695033874541,56.1111583897909
2021-08,2021-09-30,11.380155930009458,8.778162696230504,2.6019932337789538,0.7454360628312889,62.42393438052149,0.3909655500269895,56.51609250044983
2021-09,2021-10-31,10.660699093828464,8.595458437541595,2.0652406562868695,0.6200998227536412,60.33499704589402,0.31469842092302386,55.2449736820504
2021-10,2021-11-30,9.990532639618788,8.75066002134879,1.2398726182699988,0.5040266364682782,58.40044394113797,0.3753668535335457,56.256114225559095
2021-11,2021-12-31,8.225140152174468,8.444093681754088,-0.2189535295796201,0.20587342865324634,53.43122381088744,0.24805556968926074,54.13425949482101
2021-12,2022-01-31,6.931005580130122,8.577474027473754,-1.646468447343632,-0.012922025350369291,49.78463291082718,0.3010870444569569,55.01811740761595
2022-01,2022-02-28,6.640520527584695,8.740140351097798,-2.0996198235131036,-0.06197666472410465,48.96705558793159,0.3660692201704886,56.10115366950814
2022-02,2022-03-31,6.415060539718692,8.241117899322292,-1.8260573596035998,-0.09997153020592266,48.33380782990129,0.1571454415851736,52.61909069308623
2022-03,2022-04-30,6.464855158682603,8.179192588040452,-1.7143374293578493,-0.09086861134716796,48.485523144213865,0.13041999842148916,52.17366664035815
2022-04,2022-05-31,4.536613111416415,7.9996266597345,-3.4630135483180853,-0.42185640526425744,42.969059912262374,0.05441215501412001,50.90686925023533
2022-05,2022-06-30,0.7118195953005874,7.744055245383566,-7.032235650082979,-1.073930643897448,32.10115593504253,-0.05363345490190009,49.10610908496833
2022-06,2022-07-31,0.5967116478682113,7.745003570908648,-7.1482919230404365,-1.0806789087429167,31.98868485428472,-0.05293176114986241,49.117803980835625
2022-07,2022-08-31,0.17462416581673287,7.759837261030719,-7.5852130952139865,-1.1392918039805775,31.011803266990373,-0.046314960449784275,49.22808399250359
2022-08,2022-09-30,-0.19830389592443087,7.620101625779895,-7.818405521704325,-1.1880383762120437,30.199360396465938,-0.10596781476800608,48.233869753866564
2022-09,2022-10-31,-3.180502529908323,7.266482174955717,-10.44698470486404,-1.6686259794015394,22.18956700997434,-0.2577485058946425,45.70419156842262
2022-10,2022-11-30,-4.868829656143724,6.698267508329125,-11.567097164472848,-1.908677429932372,18.18870950112713,-0.5019025823420926,41.63495696096512
2022-11,2022-12-31,-3.6861954012681024,6.448258156004979,-10.134453557273082,-1.6746005460484175,22.08999089919304,-0.6068314183752234,39.88614302707961
2022-12,2023-01-31,-1.7059235947946383,5.692712308229846,-7.398635903024484,-1.3243967433447301,27.926720944254498,-0.929233973154041,34.51276711409932
2023-01,2023-02-28,0.05392444533300427,5.781231111193863,-5.7273066658608585,-1.0207106884733959,32.98815519211007,-0.882164518243961,35.29725802926731
2023-02,2023-03-31,-0.9611367636278472,5.498327451177264,-6.459464214805111,-1.1749942899991617,30.416761833347305,-0.9962472183514876,33.39587969414187
2023-03,2023-04-30,-1.0826210186433174,4.986751669503055,-6.069372688146372,-1.1806197046041396,30.32300492326434,-1.2059072781454865,29.90154536424189
2023-04,2023-05-31,0.7006485937402362,4.565240070699109,-3.8645914769588727,-0.8773867891042727,35.37688684826212,-1.3705987628229488,27.156687286284185
2023-05,2023-06-30,1.989220178783458,4.202716063045227,-2.2134958842617696,-0.6589906085463254,39.01682319089458,-1.5039709095164755,24.933818174725406
2023-06,2023-07-31,0.9085606799772804,4.070237763262895,-3.161677083285615,-0.8317001837771582,36.1383302703807,-1.5355167898427635,24.408053502620607
2023-07,2023-08-31,2.1546414217890177,3.658610485894965,-1.5039690641059473,-0.6199821365635898,39.666964390606836,-1.6807300122814348,21.98783312864275
2023-08,2023-09-30,1.2155472966250505,3.432299135779728,-2.2167518391546777,-0.7708601953121764,37.15233007813039,-1.7424979305068804,20.958367824885325
2023-09,2023-10-31,2.7496189927880956,3.2583601129433752,-0.5087411201552796,-0.5110330333738102,41.48278277710316,-1.7795948807857165,20.340085320238057
2023-10,2023-11-30,3.873907429304769,3.274946345879954,0.5989610834248151,-0.3205356004872382,44.65773999187936,-1.738696319056311,21.021728015728147
2023-11,2023-12-31,3.845663850833824,3.353418406511849,0.4922454443219748,-0.32361548841287047,44.60640852645216,-1.67558057161558,22.07365713974033
2023-12,2024-01-31,2.640738617743252,3.661261355573537,-1.020522737830285,-0.5245676933285057,41.25720511119157,-1.5252133125089935,24.579778124850108
2024-01,2024-02-29,0.05388306135602902,3.3509223479892545,-3.2970392866332254,-0.9556767607236614,34.07205398793897,-1.623963039623579,22.933949339607015
2024-02,2024-03-31,0.4523770340674978,3.64373530717858,-3.191358273111082,-0.8807364233646728,35.32105961058878,-1.4834254539561265,25.276242434064557
2024-03,2024-04-30,1.3343555338372017,3.9929844256739377,-2.6586288918367362,-0.7256084492301653,37.90652584616391,-1.3261182976459578,27.898028372567367
2024-04,2024-05-31,-0.21290855120810276,3.778572315253078,-3.9914808664611807,-0.980762647570655,33.65395587382241,-1.3934124776650456,26.77645870558257
2024-05,2024-06-30,0.8860988097436197,3.703533902052862,-2.817435092309242,-0.7876130556699871,36.87311573883355,-1.4045193814318346,26.591343642802755
2024-06,2024-07-31,1.795854568226187,3.5571447810387706,-1.7612902128125836,-0.6283114016678127,39.52814330553645,-1.4427908393863085,25.95348601022819
2024-07,2024-08-31,1.7378633256424445,3.6686920003148398,-1.9308286746723953,-0.6343414132688134,39.427643112186445,-1.3808867486349858,26.98522085608357
2024-08,2024-09-30,4.675262764696888,3.838950377547821,0.836312387149067,-0.12930299124392253,47.844950145934625,-1.2985265935206907,28.35789010798849
2024-09,2024-10-31,7.212202515037674,4.344057575975357,2.8681449390623177,0.3068039294787277,55.113398824645465,-1.0898539873852866,31.83576687691189
2024-10,2024-11-30,7.121110514029182,4.750743636134062,2.37036687789512,0.28969215925357855,54.82820265422631,-0.9229701623455413,34.61716396090765
2024-11,2024-12-31,4.420880256142384,4.814463708371285,-0.393583452228901,-0.1788803809403717,47.01866031766047,-0.8911608832320176,35.14731861279971
2024-12,2025-01-31,2.391170065143468,4.841576005732311,-2.450405940588843,-0.5302741459725405,41.16209756712432,-0.8740132259060317,35.43311290156613
2025-01,2025-02-28,2.16980426217083,4.838554457844998,-2.6687501956741677,-0.5757302240259558,40.40449626623407,-0.8681976453740873,35.53003924376521
2025-02,2025-03-31,3.3345061324129186,4.808730686583419,-1.4742245541705006,-0.3798245368365797,43.669591052723675,-0.8704687739840953,35.49218710026508
2025-03,2025-04-30,4.313638817874414,4.8121333681892615,-0.4984945503148479,-0.2183450133321997,46.360916444463335,-0.8602677794295359,35.6622036761744
2025-04,2025-05-31,6.48449878651812,5.352670964950305,1.131827821567815,0.15666494513401635,52.611082418900274,-0.645249322111009,39.24584463148318
2025-05,2025-06-30,7.034582583693467,5.36803558349404,1.6665470001994276,0.24462607699816674,54.07710128330278,-0.6341972598685776,39.43004566885704
2025-06,2025-07-31,8.304612582894347,5.512659205577849,2.7919533773164975,0.46234615021797426,57.705769170299575,-0.5727784127103068,40.45369312149489
2025-07,2025-08-31,8.494711354180328,5.802454939569002,2.692256414611326,0.4850502261992462,58.084170436654105,-0.45448897918077563,42.42518368032041
2025-08,2025-09-30,6.684689310004198,5.817941051473016,0.8667482585311816,0.14393428564866986,52.39890476081116,-0.4427702437197412,42.62049593800431
2025-09,2025-10-31,5.992380748866411,5.602575357839443,0.3898053910269681,0.008065075880667943,50.134417931344466,-0.5198606326909195,41.335656121818005
2025-10,2025-11-30,6.538045726896939,5.614213613816363,0.923832113080576,0.10082821469860699,51.68047024497678,-0.5084369365264351,41.52605105789275
2025-11,2025-12-31,7.713511186254635,5.4686049200180396,2.2449062662365957,0.30960152014799375,55.160025335799894,-0.5567124719586404,40.72145880068933
2025-12,2026-01-31,9.775961693925554,5.787418868245859,3.988542825679695,0.6807553878599982,61.34592313099997,-0.42730519162483016,42.87824680625283
2026-01,2026-02-28,11.221447707963979,5.956812228703694,5.264635479260284,0.934598055999336,65.5766342666556,-0.3550613440254244,44.08231093290959
2026-02,2026-03-31,11.518340888015157,6.087131255416485,5.431209632598672,0.9760795464038045,66.26799244006341,-0.2989596901360491,45.01733849773252
2026-03,2026-04-30,9.606865617406356,5.917360128072488,3.689505489333868,0.6194632506256859,60.324387510428096,-0.3579603956728816,44.03399340545197
2026-04,2026-05-31,9.446895900472688,5.906074264134942,3.5408216363377463,0.587171818228268,59.78619697047114,-0.35608437048852604,44.0652604918579
2026-05,2026-06-30,9.301013170889762,6.1125632760251145,3.1884498948646476,0.5555509573161578,59.25918262193596,-0.27152369682946614,45.47460505284223
2026-06,2026-07-31,7.918333966578962,5.907634262160757,2.0106997044182053,0.2999614430674318,54.9993573844572,-0.3449903864002626,44.25016022666229
